customer,total_order
8d50f5eadf50201ccdcedfb9e2ac8455,17
3e43e6105506432c953e165fb2acf44c,9
ca77025e7201e3b30c44b472ff346268,7
6469f99c1f9dfae7733b25662e7f1782,7
1b6c7548a2a1f9037c1fd3ddfed95f33,7
f0e310a6839dce9de1638e0fe5ab282a,6
de34b16117594161a6a89c50b289d35a,6
dc813062e0fc23409cd255f7f53c7074,6
63cfc61cee11cbe306bff5857d00bfe4,6
47c1a3033b8b77b3ab6e109eb4d5fdf3,6
12f5d6e1cbf93dafd9dcc19095df0b3d,6
fe81bb32c243a86b2f86fbf053fe6140,5
b4e4f24de1e8725b74e4a1f4975116ed,5
74cb1ad7e6d5674325c1f99b5ea30d82,5
5e8f38a9a1c023f3db718edcf926a2db,5
56c8638e7c058b98aae6d74d2dd6ea23,5
4e65032f1f574189fb793bac5a867bbc,5
394ac4de8f3acb14253c177f0e15bc58,5
35ecdf6858edc6427223b64804cf028e,5
f64ec6d8dd29940264cd0bbb5ecade8a,4
f34cd7fd85a1f8baff886edf09567be3,4
ec7f1811826ab04a27a92197bc40c888,4
d3359a56d96666ac0c21bb01e7a61c95,4
c8460e4251689ba205045f3ea17884a1,4
c37cc6c1a59d81460a3059744f7ada1c,4
b8b3c435a58aebd788a477bed8342910,4
b896655e2083a1d76b7b85df8fc86e40,4
b39dde6dd619943190a8cc9aa6db38a4,4
b2bd387fdc3cf05931f0f897d607dc88,4
b08fab27d47a1eb6deda07bfd965ad43,4
acea6bd29b8c1e3c6a8b266a8fb4475e,4
a7657330b1c135f3acd420326e335b2c,4
a73c5464692d3bc09d64e3edefae9015,4
a239b8e2fbce33780f1f1912e2ee5275,4
a1874c5550d2f0bc14cc122164603713,4
a0abd26659c9914690cbd3320d39fd96,4
9cc5a07f169a1606fd347a56683e6ea6,4
83e7958a94bd7f74a9414d8782f87628,4
795c1622cf7a53d63d324e862349d01c,4
738ffcf1017b584e9d2684b36e07469c,4
7305430719d715992b00be82af4a6aa8,4
6358b15ef7fa9b1210f1a5735cabd3d9,4
4facc2e6fbc2bffab2fea92d2b4aa7e4,4
397b44d5bb99eabf54ea9c2b41ebb905,4
2ddc001b620bd90d0f4378cfde1db887,4
25a560b9a6006157838aab1bdbd68624,4
12d8b5ed661190a3a08183644dfc504d,4
08e5b38d7948d37fbb2a59fc5e175ab1,4
083ca1aa470c280236380973a48f77c6,4
ff922bdd6bafcdf99cb90d7f39cea5b3,3
ff36be26206fffe1eb37afd54c70e18b,3
fe59d5878cd80080edbd29b5a0a4e1cf,3
fd8ccc89be43894d2553494c71a61fd8,3
fc719c11b4dce594f47e1f9aa739a3a2,3
f8bc1d81f395f6239a2a5ab1b9edf1ab,3
f50ca6544a0ed8a52cc964e15cbe9cf9,3
f4d1502ace38b0df6f052a5544add9f4,3
f11821d908830e74ad782532ebed897a,3
f0fd988c7c2a4cba167138a8adada6ca,3
ef0103e9602d12594d19c2b666219bc1,3
e9b87dccd9c326a3325385087eb0150c,3
e78838df9c44e102b6ac84cc5eea7d5c,3
e68e1b61896163cdd7f8e07b2ae814c9,3
e53fd5575f1418397aae732c5755b6fc,3
e4b98eebb8983cade8610c0def59f705,3
e3301490c373db9263c15a73172d0c6f,3
e325e139452a1ca05f5a33acedd7d94f,3
e30b83af13d6ff0b0f427b2a67c43b39,3
e2492e4188991b6276a4a62a287a5451,3
e226254ce0c6d5b7a7ef7218c9b5b518,3
